"year","f4","f5","f6","f7","m4","m5","m6","m7"
1976,556,832.039392207792,905.94685477208,982,586.459799847212,729.442898344267,942.698461432507,962.303360964365
1977,553.6,850.172447670288,914.480549670304,955.132903268443,584.371337270606,727.45300377666,939.659968905621,962.804516973463
1978,551.2,868.305503132785,923.014244568528,928.265806536887,582.282874694001,725.463109209052,936.621476378735,963.305672982562
1979,548.8,850.745739033249,905.659476409713,985.148884050082,606.087847514338,723.919250597071,905.368287235054,992.354470935796
1980,546.4,829.441891582616,909.923138095506,976.46193997699,590.586742800268,727.547783762346,892.755750827923,986.067252708056
1981,544,808.138044131982,914.186799781299,967.774995903898,575.085638086197,731.17631692762,880.143214420792,979.780034480316
1982,552,790.769835457266,897.977386822635,953.315565524373,563.140027252431,707.921296052167,862.803084878597,978.269384352312
1983,560,773.401626782549,881.767973863971,938.856135144849,551.194416418665,684.666275176715,845.462955336401,976.758734224308
1984,568,756.033418107833,865.558560905307,924.396704765324,539.248805584899,661.411254301263,828.122825794206,975.248084096304
1985,578.629273503755,766.518922589407,874.495359723608,904.787188773201,543.869598988225,684.061775126137,802.488618692604,900.828542326845
1986,589.258547007511,781.831747271958,870.803773996129,905.330367083355,553.285425790914,696.883838853697,811.231200125718,889.92473353993
1987,599.887820511266,797.144571954508,867.11218826865,905.873545393509,562.701252593604,709.705902581257,819.973781558833,879.020924753015
1988,610.517094015021,812.457396637059,863.420602541171,906.416723703663,572.117079396293,722.527966308817,828.716362991948,868.1171159661
1989,621.146367518777,821.942084947066,863.747888471071,879.208361851832,577.281228072859,726.529780693203,841.874923989149,862.271572950268
1990,631.775641022532,831.426773257074,864.075174400971,852,582.445376749426,730.53159507759,855.033484986351,856.426029934437
1991,642.404914526287,820.645667598353,888.027126141299,939.518434130291,550.10598862495,746.338692034542,849.795742846352,850.580486918605
1992,653.034188030043,750.611036288126,882.03702110012,912.418623154214,543.353870719068,691.735226739196,816.936935619737,878.548571069218
1993,600.284210875489,785.843947977102,877.17188476586,906.129350353419,579.66181658444,696.681961652362,817.540846939926,868.181145361924
1994,592.638646668992,788.880176776848,858.999100031428,849.789947271894,542.595628415301,703.51639920632,792.117932382538,814
1995,616.651411136537,780.174464778026,881.013896904922,962.5,595.778262383143,727.043582112385,859.153600851008,775
1996,566.498823727105,772.760887352898,854.000152331543,898.573625145124,585.486847929961,719.56271682301,828.382876999751,935.404051677856
1997,592.842306646228,742.069505927328,867.675523374945,888.333333333333,603.361601360947,731.707633326407,840.7215669563,934.134679432098
1998,588.561537764152,766.645511309092,857.866309632104,901.506440688695,594.823965593391,711.567519234218,815.651916293873,932.865307186341
1999,584.280768882076,791.221516690856,848.057095889263,914.679548044056,586.286329825835,691.427405142028,790.582265631447,931.595934940583
2000,580,795.072660462546,848.30838173502,856.553227466549,546.137416455354,693.800331864276,825.976387383291,930.326562694826
2001,532.72150468195,735.868898586198,837.160173404414,892.390289471012,551.980000749175,683.05550978243,829.641862053631,831.984617475899
2002,679.968536583076,742.470979939644,846.631199174974,899.237165871237,550.286087213628,679.388169005912,770.177445647499,882.41321837939
2003,601.248374512354,787.575460294187,856.600822609641,895.49645473259,542.117125553737,698.530015797309,808.753658021873,932.734640305998
2004,741.942014210033,782.819055572439,858.917620482,891.237564960695,591.584809301013,690.681829728462,795.174427106091,724.665716920626
2005,613.706562722472,768.296260477245,829.137951757674,877.112391871862,554.150433076494,706.923413105881,804.333032665809,772.086485385826
2006,593.971830505002,764.551327586842,853.470215366099,866.958543927771,557.292497548553,687.045563047648,801.185766877139,805.010908145896
2007,538.706056944062,737.3607354751,838.658993274785,852.662276882795,539.440790054923,672.203432724046,803.23402367812,772.746571169645
2008,613.842873579205,769.820613104702,841.480942130473,854.179189327157,536.260965707333,693.566837963004,779.320031760474,821.442190834224
2009,708.256652543868,808.429476984644,849.765817307856,877.406206838508,575.472682912385,705.134484367082,821.752291673435,759.689430187038
2010,531.371428571429,790.312826019333,846.89907696912,868.33486064882,546.426529097596,696.776248985449,772.741775683149,892.205097290599
2011,620.751509681654,794.766433308405,855.896582798657,864.771297009648,558.333324457023,702.648077989573,801.557162372955,918.256519784173
2012,663.187592319055,763.242918753754,817.153307637149,856.046662006292,566.103444192094,685.195054032271,835.187474128095,933.004346522782
2013,516.695229127433,778.285239319825,863.114882968824,760.332389809947,523.431989145379,723.546011103587,812.781363809804,947.752173261391
2014,549.205043359197,768.077322521261,850.857844256928,907.259205001881,566.137165126535,702.615382062511,777.412373274681,962.5
2015,533.541431658108,774.477779941893,853.086362376577,893.629602500941,555.013424401966,697.495023127001,821.643154143372,881.5
2016,605.758092616238,742.983527210778,806.570540245408,880,583.455562383441,698.597954684976,760.108718778512,858.25
2017,647.795158170697,755.603560026886,816.944098254196,869.333333333333,543.690556476531,687.280472190344,791.061673128229,835
2018,568.838049909956,733.751066156918,794.361106054137,858.666666666667,540.0302506174,685.750426926696,787.714216173425,765
2019,586.938327179572,756.3765258288,810.444029025424,848,558.432655683762,721.118329336035,791.145007562063,861
