"year","f4","f5","f6","f7","m4","m5","m6","m7"
1976,NA,832.039392207792,905.94685477208,982,586.459799847212,729.442898344267,942.698461432507,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,868.305503132785,923.014244568528,928.265806536887,582.282874694001,725.463109209052,936.621476378735,963.305672982562
1979,NA,850.745739033249,905.659476409713,985.148884050082,606.087847514338,723.919250597071,905.368287235054,992.354470935796
1980,NA,NA,NA,NA,NA,NA,NA,NA
1981,544,808.138044131982,914.186799781299,967.774995903898,575.085638086197,731.17631692762,880.143214420792,979.780034480316
1982,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA
1984,568,756.033418107833,865.558560905307,924.396704765324,539.248805584899,661.411254301263,828.122825794206,975.248084096304
1985,NA,766.518922589407,874.495359723608,904.787188773201,543.869598988225,684.061775126137,802.488618692604,900.828542326845
1986,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,812.457396637059,863.420602541171,906.416723703663,572.117079396293,722.527966308817,828.716362991948,868.1171159661
1989,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,831.426773257074,864.075174400971,852,582.445376749426,730.53159507759,855.033484986351,NA
1991,NA,820.645667598353,888.027126141299,939.518434130291,550.10598862495,746.338692034542,849.795742846352,850.580486918605
1992,653.034188030043,750.611036288126,882.03702110012,912.418623154214,543.353870719068,691.735226739196,816.936935619737,878.548571069218
1993,600.284210875489,785.843947977102,877.17188476586,906.129350353419,579.66181658444,696.681961652362,817.540846939926,868.181145361924
1994,592.638646668992,788.880176776848,858.999100031428,849.789947271894,542.595628415301,703.51639920632,792.117932382538,814
1995,616.651411136537,780.174464778026,881.013896904922,962.5,595.778262383143,727.043582112385,859.153600851008,775
1996,566.498823727105,772.760887352898,854.000152331543,898.573625145124,585.486847929961,719.56271682301,828.382876999751,935.404051677856
1997,592.842306646228,742.069505927328,867.675523374945,888.333333333333,603.361601360947,731.707633326407,840.7215669563,NA
1998,NA,NA,NA,NA,NA,NA,NA,NA
1999,NA,791.221516690856,848.057095889263,914.679548044056,586.286329825835,691.427405142028,790.582265631447,NA
2000,580,795.072660462546,848.30838173502,856.553227466549,546.137416455354,693.800331864276,825.976387383291,930.326562694826
2001,532.72150468195,735.868898586198,837.160173404414,892.390289471012,551.980000749175,683.05550978243,829.641862053631,831.984617475899
2002,679.968536583076,742.470979939644,846.631199174974,899.237165871237,550.286087213628,679.388169005912,770.177445647499,882.41321837939
2003,601.248374512354,787.575460294187,856.600822609641,895.49645473259,542.117125553737,698.530015797309,808.753658021873,932.734640305998
2004,741.942014210033,782.819055572439,858.917620482,891.237564960695,591.584809301013,690.681829728462,795.174427106091,724.665716920626
2005,613.706562722472,768.296260477245,829.137951757674,877.112391871862,554.150433076494,706.923413105881,804.333032665809,772.086485385826
2006,618.933261860091,763.590620179497,854.166416148193,868.374078862569,558.633801085145,687.256344753806,802.798017959124,821.171001779554
2007,538.706056944062,732.995155763871,835.04343401583,856.133698480987,540.803839957784,672.298330413947,809.288638516426,801.378708016695
2008,613.842873579205,775.836109021738,842.708075364319,850.784456060996,537.642071309271,696.387441330177,781.655235407765,829.859120450624
2009,708.256652543868,808.429476984644,849.765817307856,877.406206838508,575.472682912385,705.134484367082,821.752291673435,759.689430187038
2010,531.371428571429,790.312826019333,846.89907696912,868.33486064882,546.426529097596,696.776248985449,772.741775683149,892.205097290599
2011,620.751509681654,794.766433308405,855.896582798657,864.771297009648,558.333324457023,702.648077989573,801.557162372955,918.256519784173
2012,663.187592319055,762.337472311209,813.125896801743,862.5,569.686899628076,680.806299409396,835.98147344089,NA
2013,516.695229127433,771.12824778839,862.732266459756,841.170261066969,523.841823392221,730.500486114358,809.590880912672,NA
2014,549.205043359197,766.424741988546,847.709445445663,907.259205001881,564.345891774867,703.93769763393,785.051574871488,962.5
2015,560.445395035323,786.930043175846,876.145433538493,NA,561.720221777011,697.155130194631,826.670826052341,NA
2016,538.76751596262,759.339919026621,813.684093720108,NA,585.521526246215,699.453171627651,753.812241245604,NA
2017,682.376089343908,774.112103622924,829.289838020814,NA,556.185880291171,684.475660281816,798.702087026625,835
2018,565,755.90581821608,815.6074893602,NA,549.254071136558,690.027178426527,796.086185752584,NA
2019,586.938327179572,771.427326606924,822.679093185769,NA,561.614006827056,730.947468169771,783.633456172677,NA
