Year,Kwethluk,Tuluksak,Kogrukluk,George,Tatlawiksuk,Takotna
1976,NA,NA,5638,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA
1978,NA,NA,14533,NA,NA,NA
1979,NA,NA,11393,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA
1981,NA,NA,16089,NA,NA,NA
1982,NA,NA,13126,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA
1984,NA,NA,4922,NA,NA,NA
1985,NA,NA,4442,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA
1988,NA,NA,8028,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA
1990,NA,NA,10093,NA,NA,NA
1991,NA,697,6835,NA,NA,NA
1992,9675,1083,6563,NA,NA,NA
1993,NA,2218,12377,NA,NA,NA
1994,NA,2916,NA,NA,NA,NA
1995,NA,NA,20662,NA,NA,NA
1996,NA,NA,13771,7770,NA,423
1997,NA,NA,13190,7810,NA,1197
1998,NA,NA,NA,NA,NA,NA
1999,NA,NA,5543,NA,1484,NA
2000,3547,NA,3242,2959,807,345
2001,NA,954,7475,3277,1978,718
2002,8963,1346,10025,2443,2237,316
2003,14474,1064,12008,NA,NA,390
2004,29111,1475,19819,5488,2833,461
2005,NA,2653,21819,3845,2864,499
2006,19899,1033,20205,4355,1700,541
2007,14438,377,NA,4011,2032,412
2008,6300,683,9750,2563,1075,413
2009,5828,362,9528,3663,1071,311
2010,1772,207,5812,1498,546,181
2011,4217,287,6731,1547,992,136
2012,NA,542,NA,2201,1116,228
2013,NA,194,1819,1292,495,97
2014,3213,338,3732,2993,1904,NA
2015,8163,711,8081,2282,2104,NA
2016,NA,909,7056,1663,2494,NA
2017,7345,645,9992,3685,2156,301
